web-scraper-order,description_raw,location_raw,price_raw,price,price_cat,mileage_raw,mileage,mileage_cat,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733470887-36,VW ORIGINAL VANAGON CAMPER AUTOMAT HUBDACH KÜCHE,2556 SCHWADERNAU,CHF 7'700.–,7700,0 - 19999,125'000 km,125000,mid,Benzin,0,Aargau,19,47.5765380859375,8.314477920532227
1733470889-37,MERCEDES-BENZ 316 CDI,"RIEDACKERWEG 14, 8107 BUCHS",CHF 8'600.–,8600,0 - 19999,223'000 km,223000,mid-high,Diesel,1,Bern,02,46.774803161621094,7.615665435791016
1733470892-38,PEUGEOT LEICHTER MOTOTWAGEN,"KANTONSSTRASSE 331, 3900 GAMSEN",CHF 3'500.–,3500,0 - 19999,175'500 km,175500,mid,Diesel,1,Zürich,01,47.47664260864258,8.702418327331543
1733470895-39,CITROEN WOHNMOBIL,"ZÜRCHERSTRASSE 42, 5330 BAD ZURZACH",CHF 39'300.–,39300,20000 - 49999,110'000 km,110000,mid,Diesel,1,Vaud,22,46.597469329833984,6.542710781097412
1733470899-40,NIESMANN + BISCHOFF ISMOVE 6.9 E,"BERNSTRASSE 115, 3613 STEFFISBURG",CHF 109'000.–,109000,100000 - 199999,25'300 km,25300,low,Diesel,1,Thurgau,20,47.54833221435547,8.849271774291992
1733470901-41,FIAT ADRIA SUN LIVING A70DK - AB MFK & GASPRÜFUNG,"STEIGSTRASSE 26, 8406 WINTERTHUR",CHF 49'900.–,49900,20000 - 49999,20'552 km,20552,low,Diesel,1,Basel-Landschaft,13,47.523582458496094,7.711702823638916
1733470904-42,IVECO 35.10 TURBO DAILY,"ROUTE DE SULLENS 9, 1303 PENTHAZ VD",CHF 3'900.–,3900,0 - 19999,192'000 km,192000,mid,Diesel,1,Zürich,01,47.272743225097656,8.43922233581543
1733470908-44,ADRIA TWIN SPORTS 640 SGX (A256),"WANNENWEG 1, 4133 PRATTELN",CHF 88'900.–,88900,50000 - 99999,10'000 km,10000,low,Diesel,1,Zürich,01,47.40155029296875,8.43859577178955
1733470918-48,SUN LIVING S65L,"ROUTE DU GRANDVAL 10, 2744 BELPRAHON/MOUTIER",CHF 53'900.–,53900,50000 - 99999,19'500 km,19500,low,Diesel,1,Zürich,01,47.441410064697266,8.616898536682129
1733470922-50,MAURER STARLINER 20,"LERCHENWEG 14. ODER LÄUFELFINGEN RAMSACHSTRASSE 26, 4538 OBERBIPP",CHF 59'900.–,59900,50000 - 99999,38'000 km,38000,low,Diesel,1,Basel-Landschaft,13,47.523582458496094,7.711702823638916
1733470933-53,FIAT 1.5Q 2.3TDI,"VORBUCHENSTRASSE 13, 8303 BASSERSDORF",CHF 5'500.–,5500,0 - 19999,119'000 km,119000,mid,Diesel,1,Luzern,03,47.08992385864258,8.253633499145508
1733470938-55,SUN LIVING S-SERIES S70 DF (A276),"WANNENWEG 1, 4133 PRATTELN",CHF 71'900.–,71900,50000 - 99999,14'500 km,14500,low,Diesel,1,Thurgau,20,47.54833221435547,8.849271774291992
1733470940-56,FIAT 18 2.8TD,"MURTENSTRASSE 59, 1784 COURTEPIN (KANTON FREIBURG)",CHF 11'300.–,11300,0 - 19999,96'000 km,96000,low-mid,Diesel,1,Zürich,01,47.255882263183594,8.845612525939941
1733470942-57,MERCEDES-BENZ HYMER,"BASSERSDORFERSTRASSE 117, 8302 KLOTEN",CHF 19'870.–,19870,0 - 19999,51'000 km,51000,low-mid,Diesel,1,Zürich,01,47.50075149536133,8.767881393432617
1733470945-58,VW T5 2.5 TDI PD 4MOTION CAMPER WOHNMOBIL,"BUZIBACHSTRASSE 47, 6023 ROTHENBURG",CHF 21'800.–,21800,20000 - 49999,184'000 km,184000,mid,Diesel,1,St. Gallen,17,47.25289535522461,9.001060485839844
1733470949-60,GLOBECAR,"LERCHENWEG 14. ODER LÄUFELFINGEN RAMSACHSTRASSE 26, 4538 OBERBIPP",CHF 42'500.–,42500,20000 - 49999,16'000 km,16000,low,Diesel,1,Vaud,22,46.60051727294922,6.5255560874938965
1733470952-61,ROLLER TEAM KRONOS 284 TL20,"HAUPTSTRASSE 70, 8546 ISLIKON",CHF 59'890.–,59890,50000 - 99999,34'700 km,34700,low,Diesel,1,Luzern,03,47.23344039916992,7.90991735458374
1733470956-63,VW CALIFORNIA OCE. LIB 4M A,"OHRBÜHLSTRASSE 37, 8409 WINTERTHUR",CHF 58'900.–,58900,50000 - 99999,42'300 km,42300,low,Diesel,1,Vaud,22,46.73106002807617,6.534222602844238
1733470958-64,VW TYP 2 REIMO HOCHDACH,"BREITENSTRASSE 1, 8725 GEBERTINGEN",CHF 19'900.–,19900,0 - 19999,169'580 km,169580,mid,Benzin,0,St. Gallen,17,47.31846237182617,9.172804832458496
1733470961-65,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY 4MOTION,"ST. GALLERSTRASSE 99, 9032 ENGELBURG",CHF 71'900.–,71900,50000 - 99999,21'000 km,21000,low,Diesel,1,Bern,02,47.09516906738281,7.561470985412598
1733470963-66,FIAT PILOTE G740 C,"RTE DE GOLLION 15, 1305 PENTHALAZ",CHF 72'900.–,72900,50000 - 99999,36'000 km,36000,low,Diesel,1,Thurgau,20,47.54833221435547,8.849271774291992
1733470965-67,LAIKA,"TANNBACHSTRASSE 2, 6264 PFAFFNAU",CHF 23'900.–,23900,20000 - 49999,163'290 km,163290,mid,Diesel,1,Nidwalden,07,46.965248107910156,8.383917808532715
1733470968-68,VW T4 CALIFORNIA,"SCHWARZENBURGSTRASSE 844, 3145 NIEDERSCHERLI-BERN",CHF 17'000.–,17000,0 - 19999,300'000 km,300000,mid-high,Diesel,1,Graubünden,18,46.955711364746094,9.570183753967285
1733470970-69,CHALLENGER 620,1350 ORBE,CHF 22'500.–,22500,20000 - 49999,139'890 km,139890,mid,Diesel,1,Zürich,01,47.382022857666016,8.666350364685059
1733470973-70,DETHLEFFS FIAT 3L IVECO,"DORF 10, 9127 ST. PETERZELL",CHF 59'800.–,59800,50000 - 99999,57'000 km,57000,low-mid,Diesel,1,Basel-Landschaft,13,47.523582458496094,7.711702823638916
1733470977-72,ROLLER TEAM ZEFIRO 285 TL15,"HAUPTSTRASSE 70, 8546 ISLIKON",CHF 64'890.–,64890,50000 - 99999,31'300 km,31300,low,Diesel,1,Fribourg,10,46.71854782104492,6.959683418273926
1733470982-73,MERCEDES-BENZ 312D KAISER,"RIEDEN 10, 6370 STANS",CHF 21'800.–,21800,20000 - 49999,154'000 km,154000,mid,Diesel,1,Fribourg,10,46.62849044799805,7.060698986053467
1733470988-75,FIAT I675,"INDUSTRIESTRASSE 6, 8604 VOLKETSWIL",CHF 30'000.–,30000,20000 - 49999,111'000 km,111000,mid,Diesel,1,Fribourg,10,46.8519401550293,6.990228176116943
1733470991-76,SUN LIVING V-SERIES V60 SP TENTOP (A245),"WANNENWEG 1, 4133 PRATTELN",CHF 65'900.–,65900,50000 - 99999,22'000 km,22000,low,Diesel,1,Fribourg,10,46.82259750366211,7.301876544952393
1733470993-77,FIAT 290 / 14,"MURTENSTRASSE 59, 1784 COURTEPIN (KANTON FREIBURG)",CHF 4'800.–,4800,0 - 19999,151'000 km,151000,mid,Diesel,1,Valais,23,46.222537994384766,7.293209552764893
