web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,mileage_cat,lat,lon
1733472041-377,"CARADO A 461 2,3 DIESEL FIAT DUCATO MULTIJET 140",CHF 55'197.–,27'537 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",55197,27537,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472044-378,"LAIKA ECOVIP 609 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 54'997.–,28'177 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",54997,28177,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472047-379,ROLLER TEAM Pegaso MYTHOS 285,CHF 73'900.–,38'900 km,Diesel,"Via Bellinzona 7, 6743 Bodio",73900,38900,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472049-380,"CHAUSSON TWIST V 594 START LIMITED EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 2 130",CHF 44'997.–,43'749 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",44997,43749,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472052-381,"CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 56'997.–,27'705 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",56997,27705,1,50000 - 99999,low,46.82259750366211,7.301876544952393
1733472054-382,"CARADO A 461 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 47'997.–,43'126 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",47997,43126,1,20000 - 49999,low,45.997154235839844,8.911989212036133
1733472057-383,"PÖSSL R 640 2,3 DIESEL FIAT DUCATO MAXI PROFESSIONAL MULTIJET 160",CHF 56'997.–,29'839 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",56997,29839,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472060-384,"RAPIDO 8096 DF PREMIUM EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 67'997.–,30'531 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",67997,30531,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472063-385,"ROLLER TEAM KRONOS 267 TL 2,0 TDCI DIESEL FORD",CHF 57'597.–,24'094 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",57597,24094,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472068-386,SUNLIGHT T67 (Citroen Jumper 140PS),CHF 61'950.–,20'500 km,Diesel,"Industriestrasse 14, 8355 Aadorf",61950,20500,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472073-387,"MALIBU CARTHAGO VAN V 600 DB 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 54'997.–,15'983 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",54997,15983,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472076-388,"KNAUS BOX STAR 630 FREEWAY 2,3 DIESEL 9G-AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 160",CHF 66'996.–,29'233 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",66996,29233,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472078-389,"CARADO CAPRON A 464 2,3 D FIAT DUCATO MULTIJET 140",CHF 57'597.–,18'286 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",57597,18286,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472083-391,"HYMER YOSEMITE 2,3 DIESEL HUBDACH FIAT DUCATO MULTIJET 130",CHF 62'997.–,53'988 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",62997,53988,1,50000 - 99999,low-mid,47.741600036621094,8.709936141967773
1733472091-392,"BÜRSTNER LYSEO TIME IT 727 G HARMONY LINE 2,0 BLUEHDI CITROEN JUMPER",CHF 62'997.–,19'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",62997,19985,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472094-393,"KNAUS WEINSBERG CARABUS 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 130",CHF 63'997.–,16'694 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",63997,16694,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472102-394,"WEINSBERG KNAUS CARABUS 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 130",CHF 63'997.–,16'694 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",63997,16694,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472110-396,VW Cali. TDI Oce. Ed. Lib. A,CHF 67'000.–,10'600 km,Diesel,"Spisi 9, 1714 Heitenried",67000,10600,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472113-397,LAIKA ECOVIP 690,CHF 54'900.–,62'500 km,Diesel,"via alla Foce n. 5, 6933 Muzzano",54900,62500,1,50000 - 99999,low-mid,47.741600036621094,8.709936141967773
1733472119-398,"ROLLER TEAM LIVINGSTONE 2 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 61'397.–,25'869 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",61397,25869,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472124-399,"LAIKA ECOVIP 309 S 2,3 DIESEL FIAT DUCATO MJ2 150",CHF 54'697.–,49'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",54697,49985,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472134-400,"ETRUSCO A 6600 BB 2,3 DIESEL FIAT DUCATO MJ 140",CHF 57'597.–,35'081 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",57597,35081,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472141-401,"ETRUSCO V 6600 SB 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 65'997.–,14'589 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",65997,14589,1,50000 - 99999,low,47.40693283081055,8.31423568725586
1733472147-402,"PILOTE GALAXY G 650 ESSENTIEL 2,3 DIESEL FIAT DUCATO MJ 150",CHF 54'997.–,57'383 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",54997,57383,1,50000 - 99999,low-mid,47.741600036621094,8.709936141967773
1733472153-403,"ROLLER TEAM AUTO ROLLER KRONOS 264 TL 2,0 TDCI FORD",CHF 49'997.–,57'859 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",49997,57859,1,20000 - 49999,low-mid,47.741600036621094,8.709936141967773
1733472159-404,"CARADO I 447 EMOTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 180",CHF 69'997.–,19'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",69997,19985,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472164-405,BÜRSTNER NEXXO T620 G (Citroen Jump.),CHF 62'950.–,14'500 km,Diesel,"Industriestrasse 14, 8355 Aadorf",62950,14500,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472169-406,"DETHLEFFS JUST 7052 EB 2,2 HDI DIESEL CITROEN JUMPER",CHF 63'997.–,14'231 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",63997,14231,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472175-407,"BENIMAR MILEO 263 2,3 DIESEL FIAT DUCATO MJ 160",CHF 65'996.–,33'854 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",65996,33854,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472180-408,"CHAUSSON TWIST V 594 START SPEZIAL EDITION 2,3  DIESEL FIAT DUCATO MJ 130",CHF 49'997.–,48'856 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",49997,48856,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472185-409,"PÖSSL GLOBECAR GLOBESTAR 600 L REVOLUTION 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO PROFESSIONAL MJ 150",CHF 56'997.–,42'124 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",56997,42124,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472191-410,MERCEDES-BENZ Marco Polo - V 300 d L 4M - Horizon - 4x4 - Aufstelldach,CHF 69'900.–,29'600 km,Diesel,"Sternmatt 6, 6010 Kriens / Luzern",69900,29600,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472198-411,"PILOTE V 630 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ 130",CHF 47'997.–,39'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",47997,39985,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472212-412,"KARMANN DAVIS 590 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 59'997.–,19'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",59997,19985,1,50000 - 99999,low,47.41001510620117,7.49330997467041
1733472218-413,"DETHLEFFS TREND T 6767 2,3 DIESEL FIAT DUCATO MJ 150",CHF 46'997.–,89'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",46997,89985,1,20000 - 49999,low-mid,47.741600036621094,8.709936141967773
1733472224-414,"FORD TRANSIT CUSTOM NUGGET WESTFALIA HOCHDACH H3 2,2 TDCI DIESEL",CHF 46'997.–,42'615 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",46997,42615,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472232-415,"ETRUSCO I 7400 SB COMPLETE SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 81'597.–,14'568 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",81597,14568,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472239-416,VW T5 California 2.0 Bi-TDI Beach Edition,CHF 25'000.–,199'800 km,Diesel,"Werkstrasse 1, 5608 Stetten",25000,199800,1,20000 - 49999,mid,47.741600036621094,8.709936141967773
1733472246-417,"PÖSSL V 640 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ 150",CHF 43'997.–,54'622 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",43997,54622,1,20000 - 49999,low-mid,47.741600036621094,8.709936141967773
1733472252-418,"ETRUSCO T 6900 QB 2,0 HDI DIESEL CITROEN JUMPER",CHF 59'997.–,25'019 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",59997,25019,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472258-419,"CHAUSSON 648 TITANIUM VIP 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 64'997.–,29'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",64997,29985,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472264-420,"LAIKA X 595 R 2,3 DIESEL FIAT DUCATO MJ 130",CHF 36'797.–,79'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",36797,79985,1,20000 - 49999,low-mid,47.741600036621094,8.709936141967773
1733472271-421,"ADRIA SUN LIVING V 65 SL 2,3 DIESEL FIAT DUCATO MJ",CHF 55'997.–,42'601 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",55997,42601,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472280-422,"KNAUS BOX STAR 600 DQ SOLUTION 4 2,3 DIESEL HOCHDACH H3 FIAT DUCATO MJ 150",CHF 56'997.–,38'286 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",56997,38286,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472287-423,"ROLLER TEAM KRONOS 291 P 2,0 TDCI DIESEL FORD",CHF 52'997.–,19'648 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",52997,19648,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472298-424,"CLEVER VANS TOUR 540 2,2 HDI DIESEL CITROEN JUMPER",CHF 45'997.–,35'586 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",45997,35586,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472309-425,"FORD TRANSIT CUSTOM NUGGET WESTFALIA AUFSTELLDACH 2,0 TDCI DIESEL AUTOMAT",CHF 54'697.–,24'401 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",54697,24401,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472319-426,"WEINSBERG CARABUS 631 ME EDITION FIRE 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 48'997.–,49'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",48997,49985,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472322-427,VW T6 California 2.0 TDI 199 Beach DSG 4m 7 Pl.,CHF 62'900.–,26'000 km,Diesel,"Delsbergerstrasse 181, 4242 Laufen",62900,26000,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472326-428,"PÖSSL RAODCAR R 540 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ2 130",CHF 47'997.–,28'689 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",47997,28689,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472330-429,"ETRUSCO CV 600 DB COMPLETE SELECTION 2,3 DIESEL FIAT DUCATO MULTIJET 140",CHF 55'997.–,29'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",55997,29985,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472333-430,"VW T6.1 CALIFORNIA 2,0 TDI DSG 4X4 OCEAN EDITION LIBERTY",CHF 65'997.–,54'977 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",65997,54977,1,50000 - 99999,low-mid,47.741600036621094,8.709936141967773
1733472349-431,"VW T6.1 CALIFORNIA 2,0 TDI DSG 4X4 OCEAN EDITION LIBERTY",CHF 65'997.–,45'981 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",65997,45981,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472369-432,"FORD TRANSIT CUSTOM NUGGET WESTFALIA AUFSTELLDACH 2,0 TDCI DIESEL AUTOMAT",CHF 51'997.–,43'867 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",51997,43867,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472382-434,"BÜRSTNER NEXXO TIME T 569 EDITION 30 YEARS 2,0 HDI CITROEN JUMPER",CHF 52'997.–,39'663 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",52997,39663,1,50000 - 99999,low,47.36789321899414,8.81820297241211
1733472386-435,"ADRIA MATRIX AXESS 670 SL GT EDITION 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150",CHF 68'997.–,48'698 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",68997,48698,1,50000 - 99999,low,46.83207321166992,6.935480117797852
1733472392-436,"HOBBY OPTIMA PREMIUM T 65 GQ 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150",CHF 64'997.–,28'515 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",64997,28515,1,50000 - 99999,low,47.467018127441406,9.58243179321289
1733472398-437,"RIMOR EVO 95 PLUS 2,0 TDCI DIESEL AUTOMAT FORD",CHF 59'997.–,31'555 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",59997,31555,1,50000 - 99999,low,46.193580627441406,6.129368782043457
1733472404-438,"HYMER EXIS-I EX 474 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 79'996.–,23'640 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",79996,23640,1,50000 - 99999,low,46.193580627441406,6.129368782043457
1733472410-439,"WEINSBERG CARASUITE 700 ME 2,3 DIESEL FIAT DUCATO MULTIJET 140",CHF 64'997.–,23'641 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",64997,23641,1,50000 - 99999,low,46.774803161621094,7.615665435791016
1733472416-440,"CHAUSSON KOROS 720 2,0 TDCI DIESEL FORD",CHF 54'997.–,49'985 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",54997,49985,1,50000 - 99999,low,47.07102584838867,7.5950236320495605
1733472423-441,"CARADO CAPRON V 132 2,3 DIESEL FIAT DUCATO MJ",CHF 46'997.–,37'661 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",46997,37661,1,20000 - 49999,low,47.48258972167969,8.278800010681152
1733472435-443,"CHAUSSON 747 GA WELCOME PREMIUM 2,3 DIESEL FIAT DUCATO MJ 130",CHF 59'997.–,26'652 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",59997,26652,1,50000 - 99999,low,47.23871994018555,8.749458312988281
1733472461-445,"RAPIDO CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 56'997.–,27'705 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",56997,27705,1,50000 - 99999,low,46.924835205078125,8.018625259399414
1733472465-446,"HOBBY OPTIMA T 65 FL ONTOUR 2,2 HDI DIESEL CITROEN JUMPER",CHF 62'997.–,12'847 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",62997,12847,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472469-447,"HYMER GRAND CANYON 600 2,3 DIESEL HUBDACH FIAT DUCATO MJ 150",CHF 53'997.–,39'890 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",53997,39890,1,50000 - 99999,low,47.29646301269531,7.931781768798828
1733472475-448,FIAT Ducato,CHF 48'900.–,38'000 km,Diesel,"Zollstrasse 10 & Waldegg 379, 3436 Zollbrück",48900,38000,1,20000 - 49999,low,46.18864440917969,7.297874450683594
1733472480-449,VW Typ 2,CHF 19'900.–,200'000 km,Benzin,"Pfäffikerstrasse 31a, 8335 Hittnau",19900,200000,0,0 - 19999,mid,47.686065673828125,8.622149467468262
1733472485-450,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 61'900.–,35'500 km,Diesel,"Route de Grandcour 71, 1530 Payerne",61900,35500,1,50000 - 99999,low,46.934852600097656,8.393327713012695
1733472488-451,VW 2.0 TDI 4MOTION MULTIVAN CAMPER,CHF 25'900.–,186'000 km,Diesel,"Thalerstrasse 46a, 9424 Rheineck",25900,186000,1,20000 - 49999,mid,46.76797103881836,7.352298259735107
1733472504-453,VW T5 California 2.0 TDI Comfortline Travel,CHF 50'500.–,51'000 km,Diesel,"rue Eugène-Marziano 18, 1227 Les Acacias",50500,51000,1,50000 - 99999,low-mid,47.07444381713867,7.581071853637695
1733472510-454,DETHLEFFS XXLA 9000,CHF 169'500.–,13'500 km,Diesel,"Bernstrasse 115, 3613 Steffisburg",169500,13500,1,100000 - 199999,low,47.414920806884766,8.382509231567383
1733472513-455,MERCEDES-BENZ Marco Polo 220 d A,CHF 62'900.–,16'900 km,Diesel,"Industriestrasse 6, 3421 Lyssach",62900,16900,1,50000 - 99999,low,47.37942886352539,8.14233112335205
1733472516-456,VW T6.1 California 2.0 TDI Ocean Edition Liberty,CHF 59'500.–,29'008 km,Diesel,"Bruggerstrasse 194, 5400 Baden",59500,29008,1,50000 - 99999,low,47.272743225097656,8.43922233581543
1733472519-457,VW 2.4D Westfalia mit Hochdach,CHF 16'690.–,244'990 km,Diesel,"Johann-Renfer-Strasse 3, 2504 Biel/Bienne",16690,244990,1,0 - 19999,mid-high,47.24129867553711,7.598618030548096
1733472524-458,VW T6 California 2.0 Bi-TDI Beach Liberty 4Motion,CHF 47'900.–,109'000 km,Diesel,"Laubisrütistrasse 77, 8713 Uerikon",47900,109000,1,20000 - 49999,mid,47.04911422729492,8.27134895324707
1733472528-459,LAIKA Iveco Laika Ecovip,CHF 27'500.–,138'000 km,Diesel,"Hauptstrasse 70 A, 9105 Schönengrund",27500,138000,1,20000 - 49999,mid,46.855812072753906,8.639747619628906
1733472533-460,TOYOTA 400 Hdt Long 4.2D Buschtaxi,CHF 79'800.–,61'000 km,Diesel,"Staufmoos, 6170 Schüpfheim",79800,61000,1,50000 - 99999,low-mid,47.04475021362305,8.191388130187988
1733472536-461,"KNAUS SKY TI 700 MEG PLATINUM SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 67'997.–,37'312 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",67997,37312,1,50000 - 99999,low,47.41733932495117,9.236328125
1733472539-462,BRAVIA Swan 636 165 PS Swiss Ed.High Roof,CHF 74'900.–,20'000 km,Diesel,"untere Brühlstrasse 48, 4800 Zofingen",74900,20000,1,50000 - 99999,low,47.15397644042969,7.59208869934082
1733472546-464,VW T6.1 California 2.0 TDI Ocean 4Motion Anhängelast 2500Kg Seitenstoren und Elektrisches Hochdach  Neupreis 95840 CHF,CHF 66'900.–,42'014 km,Diesel,"Zentralstrasse 121, 8212 Neuhausen am Rheinfall",66900,42014,1,50000 - 99999,low,47.41579055786133,8.562726974487305
1733472553-466,VW T6 California 2.0 Bi-TDI Ocean BLUE,CHF 55'800.–,33'100 km,Diesel,"Kappelen 30B, 3156 Riffenmatt",55800,33100,1,50000 - 99999,low,46.344478607177734,6.943572521209717
1733472561-468,YUCON 6.0,CHF 99'900.–,12'266 km,Diesel,"Kirchbergstrasse 61, 3421 Lyssach",99900,12266,1,50000 - 99999,low,47.05141830444336,8.273253440856934
1733472565-469,VW T6 California 2.0 TDI Ocean Liberty 4Motion,CHF 51'900.–,61'500 km,Diesel,"Grubenstrasse 7, 8957 Spreitenbach",51900,61500,1,50000 - 99999,low-mid,47.19865417480469,8.108717918395996
1733472569-470,FORD 100L,CHF 10'900.–,274'000 km,Benzin,"Seetalstrasse 35, 5503 Schafisheim",10900,274000,0,0 - 19999,mid-high,47.040523529052734,8.134263038635254
1733472573-471,ITINEO 740 auf Fiat Ducato,CHF 59'800.–,17'598 km,Diesel,"Obfelderstrasse 38, 8910 Affoltern am Albis",59800,17598,1,50000 - 99999,low,47.070003509521484,7.3112287521362305
1733472586-472,MERCEDES-BENZ Sprinter 313 CDI 4x4 Automatik / Off-Road Autark Camper **Frisch ab MFK**,CHF 46'990.–,63'109 km,Diesel,"Baselstrasse 25, 4534 Flumenthal",46990,63109,1,20000 - 49999,low-mid,47.07384490966797,7.588680267333984
1733472590-473,MERCEDES-BENZ Marco Polo 250 d  4M Automat,CHF 69'500.–,32'000 km,Diesel,"Unterwilrain 16, 6014 Luzern",69500,32000,1,50000 - 99999,low,47.741600036621094,8.709936141967773
1733472593-474,FIAT Carado A464 2.3 JTD,CHF 33'900.–,44'900 km,Diesel,"Umfahrungsstrasse 9, 6467 Schattdorf",33900,44900,1,20000 - 49999,low,47.741600036621094,8.709936141967773
1733472595-475,DETHLEFFS Advantage I 7051EB,CHF 47'000.–,157'000 km,Diesel,"Eistrasse 1, 6102 Malters",47000,157000,1,20000 - 49999,mid,47.49706268310547,8.864991188049316
1733472600-476,VW T5 California 2.0 TDI Comfortline Last Edition,CHF 36'500.–,148'500 km,Diesel,"Wilerstrasse 71, 9200 Gossau SG",36500,148500,1,20000 - 49999,mid,47.00366973876953,9.525409698486328
1733472609-478,FORD Transit Autoroller,CHF 29'900.–,88'000 km,Diesel,"Forchstrasse 148, 8132 Egg bei Zürich",29900,88000,1,20000 - 49999,low-mid,47.56706237792969,8.858413696289062
1733472612-479,MERCEDES-BENZ Marco Polo 300 d 4M A,CHF 74'900.–,35'500 km,Diesel,"Hagenholzstrasse 111, 8050 Zürich",74900,35500,1,50000 - 99999,low,46.934852600097656,8.393327713012695
1733472615-480,MERCEDES-BENZ Marco Polo Activ 250 d 4M,CHF 45'999.–,123'000 km,Diesel,"Grand-rue 4, 2606 Corgémont (Biel-Bienne/BE - 13 min)",45999,123000,1,20000 - 49999,mid,46.193580627441406,6.129368782043457
1733472618-481,FORD Challenger Trigano FD4,CHF 65'500.–,11'800 km,Diesel,"Pré de l'Oie 3, 1853 Yvorne",65500,11800,1,50000 - 99999,low,47.11769485473633,7.2922821044921875
1733472626-483,NISSAN NV400 LH2 Wohnmobil,CHF 39'999.–,25'000 km,Diesel,"Luzernerstrasse 80, 6014 Luzern",39999,25000,1,20000 - 49999,low,47.65929412841797,9.12209701538086
1733472633-485,CARTHAGO Chic S-Plus,CHF 199'000.–,20'000 km,Diesel,"Mittler-Langnau 1, 6105 Schachen LU",199000,20000,1,100000 - 199999,low,47.049163818359375,9.064384460449219
1733472636-486,MERCEDES-BENZ Marco Polo 220 d Trend  4M Automat,CHF 79'000.–,16'000 km,Diesel,"Bernstrasse 11, 3250 lyss",79000,16000,1,50000 - 99999,low,47.05141830444336,8.273253440856934
1733472640-487,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 65'900.–,12'000 km,Diesel,"Schachenstrasse 31, 3421 Lyssach",65900,12000,1,50000 - 99999,low,46.15753173828125,8.975666999816895
1733472644-488,"SUNLIGHT CLIFF CVE 640 ADVENTURE EDITION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 59'997.–,36'784 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",59997,36784,1,50000 - 99999,low,46.904449462890625,8.393872261047363
1733472647-489,"CHALLENGER 347 GA GRAPHITE EDITION 2,0 TDCI DIESEL AUTOMAT FORD",CHF 56'997.–,62'940 km,Diesel,"Zollstrasse 33, 8240 Thayngen(SH)",56997,62940,1,50000 - 99999,low-mid,46.904449462890625,8.393872261047363
1733472650-490,MERCEDES-BENZ Marco Polo 250 d Horizon,CHF 51'900.–,38'000 km,Diesel,"Bahnhofstrasse 7, 8353 Elgg",51900,38000,1,50000 - 99999,low,46.757205963134766,7.616790294647217
1733472660-491,VW T6.1 California 2.0 Bi-TDI Ocean Liberty 4Motion,CHF 63'200.–,94'241 km,Diesel,"Untere Industrie 2, 7304 Maienfeld",63200,94241,1,50000 - 99999,low-mid,47.06964874267578,8.319802284240723
1733472664-492,ADRIA Coral S680 SPL,CHF 29'900.–,108'000 km,Diesel,"Rte de Porrentruy 86, 2800 Delémont",29900,108000,1,20000 - 49999,mid,46.942352294921875,8.272114753723145
1733472669-493,VW T6.1 California 2.0 TDI Ocean Edition 4Motion,CHF 76'800.–,20'900 km,Diesel,"Eichäckerstrasse 1, 8500 Frauenfeld",76800,20900,1,50000 - 99999,low,47.415218353271484,7.844275951385498
1733472672-494,VW T6 California 2.0 TDI Ocean Liberty 4Motion,CHF 51'900.–,75'000 km,Diesel,"Aawasserstrasse 12, 6383 Dallenwil",51900,75000,1,50000 - 99999,low-mid,46.934852600097656,8.393327713012695
1733472675-495,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 52'900.–,41'000 km,Diesel,"rue Eugène-Marziano 18, 1227 Les Acacias",52900,41000,1,50000 - 99999,low,47.312950134277344,7.786300182342529
1733472681-496,MERCEDES-BENZ Marco Polo 250 d  4M Automat,CHF 87'900.–,12'500 km,Diesel,"Alte Bernstrasse 34, 2558 Aegerten",87900,12500,1,50000 - 99999,low,47.152587890625,8.39490032196045
1733472684-497,VW T6 California 2.0 Bi-TDI Ocean * BULLI *,CHF 44'990.–,119'840 km,Diesel,"Hauptstrasse 8, 9434 Au / Rheintal / SG",44990,119840,1,20000 - 49999,mid,47.45001220703125,7.881074905395508
1733472688-498,FIAT Fullback mit DUX Kabine,CHF 69'990.–,121'500 km,Diesel,"Schützenstrasse 4, 8274 Tägerwilen",69990,121500,1,50000 - 99999,mid,47.0927734375,8.318682670593262
